track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
////,Covey,38,0.564,0.605,11,-10.445,1,0.0299,0.64,0.00633,0.196,0.607,118.95
\\\,c678924,53,0.676,0.449,1,-12.224,0,0.0764,0.00124,0.917,0.163,0.511,159.976
$10,Good Morning,66,0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969
$TING,The Neighbourhood,60,0.566,0.777,9,-6.19,0,0.0505,0.622,0.758,0.0985,0.341,134.014
10x Stronger,Dominic Fike,67,0.42,0.391,4,-6.45,0,0.0291,0.955,0.641,0.426,0.132,100.021
11 Hours - Branchez Remix,Wet,47,0.687,0.352,8,-8.229,1,0.0759,0.626,0.000151,0.133,0.155,122.955
12 Feet Deep,The Front Bottoms,48,0.328,0.932,9,-5.612,1,0.0924,0.00961,0.0,0.36,0.534,101.354
"1, 2 Step (Supersonic)",SIDEPIECE,51,0.856,0.851,1,-6.006,1,0.0699,0.000747,0.641,0.0585,0.654,124.99
17,Youth Lagoon,55,0.348,0.263,0,-8.531,1,0.0516,0.835,0.654,0.129,0.12,74.517
3005,Childish Gambino,4,0.472,0.448,6,-7.272,0,0.326,0.113,0.0,0.0914,0.636,166.077
30/90,Andrew Garfield,64,0.466,0.789,0,-5.956,1,0.0663,0.0146,0.0,0.0637,0.36,175.772
3 Nights,Dominic Fike,74,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891
4EVA,KAYTRAMINÉ,65,0.831,0.763,2,-7.358,1,0.0955,0.0451,0.0202,0.0622,0.576,112.024
5AM,Amber Run,56,0.357,0.433,0,-11.521,1,0.0418,0.244,0.00636,0.0808,0.089,145.736
5 O'Clock (feat. Lily Allen & Wiz Khalifa),T-Pain,0,0.4,0.882,7,-1.958,0,0.334,0.168,0.0,0.124,0.385,167.114
5 shots,gianni & kyle,0,0.918,0.449,1,-5.702,1,0.0605,0.124,0.0,0.0595,0.481,91.978
6 Letters,Daktyl,42,0.469,0.421,1,-8.428,1,0.112,0.293,0.0,0.09,0.238,72.824
8TEEN,Khalid,76,0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03
About You,San Cisco,45,0.678,0.575,6,-7.215,0,0.0354,0.49,2.54e-05,0.259,0.603,106.933
Açaí Bowl,Dominic Fike,60,0.687,0.439,2,-8.347,1,0.0426,0.502,0.000367,0.109,0.352,91.972
Acid Dreams,MAX,52,0.817,0.509,0,-4.17,1,0.0839,0.146,2.53e-05,0.111,0.77,99.988
ACID REFLUX,Monxx,44,0.505,0.868,7,-4.099,1,0.205,0.000376,0.0427,0.308,0.124,74.097
Acolyte,"Slaughter Beach, Dog",62,0.79,0.476,9,-10.674,1,0.0338,0.782,0.0942,0.113,0.774,123.977
ADDICTIONS (FEAT. Tre' Amani),Brent Faiyaz,72,0.889,0.489,10,-8.587,0,0.108,0.0209,1.78e-05,0.0814,0.843,93.039
Adore You,Harry Styles,85,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048
Adult Summers (PART 1),Prince Daddy & the Hyena,47,0.426,0.886,11,-5.648,1,0.0436,0.00144,0.0,0.571,0.577,139.751
Adult Summers (PART 2),Prince Daddy & the Hyena,42,0.264,0.899,11,-4.654,1,0.068,0.00065,0.531,0.298,0.145,83.73
Advice,Alex G,0,0.356,0.611,10,-5.71,1,0.0289,0.000183,0.867,0.127,0.272,170.073
